ProblemID,IsCovered,ProblemToSolveTheorems,SimilarProblemsTheorems,LevelID
6760,False,7,25,8
3983,True,6,11,8
2761,True,4,11,8
2875,False,8,22,8
3434,True,6,27,8
1258,True,4,13,8
246,True,2,16,8
6806,True,6,23,8
4793,True,6,20,8
2106,True,4,10,8
1975,True,1,24,1
1490,True,1,20,1
1726,True,1,7,1
178,True,1,5,1
2669,True,1,9,1
2614,True,1,18,1
51,True,1,8,1
2323,True,1,4,1
192,True,1,19,1
2624,True,1,20,1
4923,True,4,7,6
3298,False,3,16,6
759,True,6,19,6
4910,True,5,15,6
5805,True,4,5,6
5708,True,4,4,6
6417,True,4,22,6
5835,False,5,18,6
5808,True,4,7,6
5779,True,4,4,6
2141,True,2,14,2
69,True,2,13,2
2916,True,2,9,2
358,True,2,6,2
4473,True,2,6,2
4483,True,2,5,2
5645,True,2,8,2
127,True,2,13,2
2410,True,2,13,2
4523,True,2,6,2
3580,True,6,37,7
4898,True,5,12,7
6802,True,5,13,7
6247,True,5,15,7
449,True,5,15,7
1854,True,4,9,7
5208,True,6,32,7
6322,True,7,21,7
3412,True,4,48,7
3027,True,6,7,7
4187,True,3,9,3
5244,True,3,18,3
5062,False,2,21,3
844,False,3,19,3
1945,True,2,19,3
2200,True,2,14,3
4099,True,2,8,3
2765,True,2,11,3
4476,True,3,12,3
4254,True,2,18,3
5440,True,3,39,5
6485,True,4,20,5
696,False,3,22,5
847,True,4,22,5
5563,True,4,15,5
532,True,2,13,5
5431,False,4,23,5
437,True,3,9,5
5080,True,4,4,5
6660,False,4,7,5
2114,True,4,22,4
464,True,3,24,4
5510,False,2,30,4
3272,True,4,14,4
5230,True,1,1,4
3634,False,4,10,4
6924,True,4,14,4
4797,True,4,12,4
5399,True,4,15,4
6155,True,3,3,4
4134,True,5,17,10
3419,False,4,24,10
2196,True,6,24,10
4489,False,8,19,10
6146,False,7,17,10
6018,True,6,18,10
6376,True,5,24,10
5353,True,5,20,10
3114,True,9,17,10
5197,True,8,9,10
4892,True,8,12,9
5092,False,6,39,9
5522,True,5,27,9
4796,True,7,18,9
3418,True,5,28,9
6850,True,2,18,9
6790,True,8,13,9
5116,False,7,45,9
2851,True,4,22,9
716,True,7,30,9
