ProblemID,IsCovered,ProblemToSolveTheorems,SimilarProblemsTheorems,LevelID
459,True,1,45,1
722,True,1,59,1
95,True,1,24,1
2521,True,1,10,1
4197,True,1,8,1
2191,True,1,10,1
917,True,1,70,1
2409,False,1,49,1
2545,True,1,55,1
438,True,1,36,1
2444,True,1,50,1
2794,True,1,49,1
1568,True,1,22,1
2208,True,1,8,1
5313,True,1,10,1
1136,True,1,65,1
1663,True,1,11,1
2353,True,1,45,1
553,True,1,9,1
1849,True,1,16,1
993,True,2,32,2
454,True,2,40,2
6156,True,2,14,2
2451,True,1,49,2
2206,True,2,16,2
5363,True,2,27,2
3700,True,2,10,2
2478,True,2,40,2
335,True,2,36,2
5572,True,2,10,2
5049,True,2,27,2
4350,True,2,14,2
6677,True,2,18,2
1004,True,2,51,2
4316,True,2,15,2
6880,True,2,15,2
4251,True,2,13,2
823,True,2,52,2
5953,True,2,10,2
455,True,1,43,2
890,True,3,45,3
5138,True,1,45,3
6397,True,3,30,3
770,True,3,56,3
6747,True,3,23,3
3296,True,3,14,3
2949,True,2,42,3
3496,True,3,12,3
3638,True,3,47,3
4679,True,3,45,3
3619,True,2,40,3
6495,True,3,78,3
5581,True,2,37,3
4833,True,3,41,3
3173,True,3,13,3
1398,True,3,29,3
1795,True,2,11,3
3597,True,2,27,3
1647,True,3,80,3
1938,True,2,24,3
6309,True,4,68,5
6910,True,4,31,5
4601,True,4,51,5
3263,True,4,43,5
2183,True,2,11,5
5725,True,3,12,5
6896,True,4,14,5
3299,True,5,36,5
3768,True,4,26,5
2062,True,4,81,5
6217,True,4,22,5
3701,True,5,40,5
4414,True,5,31,5
3987,True,5,57,5
4270,True,4,36,5
5790,True,4,14,5
4707,True,4,22,5
3029,True,4,21,5
3961,False,4,15,5
5405,True,5,22,5
6645,True,3,20,4
6104,True,3,29,4
2159,True,3,11,4
4856,True,4,26,4
5399,True,4,57,4
596,True,3,55,4
4869,True,4,20,4
705,True,3,10,4
3157,True,3,9,4
3265,True,3,9,4
2904,True,3,45,4
1494,True,3,12,4
5909,True,3,31,4
4876,True,4,26,4
5391,True,4,57,4
3452,True,3,24,4
2622,True,4,31,4
2902,True,3,9,4
1483,True,4,59,4
659,True,3,81,4
