ProblemID,IsCovered,ProblemToSolveTheorems,SimilarProblemsTheorems,LevelID
6760,True,7,10,8.0
3983,True,6,11,8.0
2761,True,4,11,8.0
2875,False,8,20,8.0
3434,True,6,31,8.0
1258,True,4,15,8.0
246,True,2,14,8.0
6806,True,6,26,8.0
4793,True,6,14,8.0
2106,True,4,10,8.0
1975,True,1,11,1.0
1490,True,1,9,1.0
1726,True,1,8,1.0
178,True,1,5,1.0
2669,True,1,8,1.0
2614,True,1,12,1.0
51,True,1,9,1.0
2323,True,1,2,1.0
192,True,1,8,1.0
2624,True,1,20,1.0
4923,True,4,7,6.0
3298,False,3,12,6.0
759,True,6,13,6.0
4910,True,5,12,6.0
5805,True,4,5,6.0
5708,True,4,7,6.0
6417,True,4,15,6.0
5835,False,5,16,6.0
5808,True,4,7,6.0
5779,True,4,4,6.0
2141,True,2,12,2.0
69,True,2,13,2.0
2916,True,2,11,2.0
358,True,2,6,2.0
4473,True,2,5,2.0
4483,True,2,4,2.0
5645,True,2,5,2.0
127,True,2,9,2.0
2410,True,2,5,2.0
4523,True,2,5,2.0
3580,True,6,35,7.0
4898,True,5,13,7.0
6802,True,5,17,7.0
6247,True,5,11,7.0
449,True,5,15,7.0
1854,True,4,8,7.0
5208,True,6,11,7.0
6322,True,7,17,7.0
3412,True,4,46,7.0
3027,True,6,6,7.0
4187,True,3,4,3.0
5244,True,3,17,3.0
5062,False,2,11,3.0
844,False,3,14,3.0
1945,True,2,13,3.0
2200,True,2,4,3.0
4099,True,2,9,3.0
2765,False,2,9,3.0
4476,True,3,10,3.0
4254,True,2,12,3.0
5440,True,3,38,5.0
6485,True,4,20,5.0
696,True,3,16,5.0
847,True,4,19,5.0
5563,True,4,7,5.0
532,True,2,13,5.0
5431,False,4,19,5.0
437,True,3,9,5.0
5080,True,4,4,5.0
6660,True,4,8,5.0
2114,True,4,22,4.0
464,True,3,25,4.0
5510,False,2,21,4.0
3272,True,4,13,4.0
5230,True,1,1,4.0
3634,False,4,10,4.0
6924,True,4,14,4.0
4797,True,4,12,4.0
5399,True,4,6,4.0
6155,True,3,4,4.0
4134,True,5,16,10.0
3419,False,4,22,10.0
2196,True,6,23,10.0
4489,False,8,20,10.0
6146,True,7,19,10.0
6018,True,6,12,10.0
6376,True,5,31,10.0
5353,True,5,22,10.0
3114,True,9,18,10.0
5197,True,8,11,10.0
4892,True,8,12,9.0
5092,False,6,37,9.0
5522,True,5,29,9.0
4796,True,7,22,9.0
3418,True,5,31,9.0
6850,True,2,18,9.0
6790,True,8,12,9.0
5116,True,7,43,9.0
2851,True,4,8,9.0
716,True,7,25,9.0
1975,True,1,33,
1975,True,1,33,
1975,True,1,33,
2323,True,1,7,
2614,True,1,35,
2614,True,1,35,
2624,True,1,33,
2669,True,1,43,
2669,True,1,43,
2669,True,1,43,
2624,True,1,33,
2614,True,1,35,
2614,True,1,35,
69,True,2,20,
144,True,2,6,
144,True,2,6,
358,True,2,8,
2410,True,2,22,
2410,True,2,22,
4473,True,2,17,
4483,True,2,12,
4483,True,2,12,
4523,True,2,12,
4645,True,7,19,
5645,True,2,10,
4483,True,2,12,
127,True,2,14,
127,True,2,14,
127,True,2,14,
127,True,2,14,
127,True,2,14,
127,True,2,14,
127,True,2,14,
2614,True,1,35,
2614,True,1,35,
2669,True,1,43,
2624,True,1,33,
2669,True,1,43,
2669,True,1,43,
2614,True,1,35,
192,True,1,32,
2614,True,1,35,
2624,True,1,33,
2669,True,1,43,
69,True,2,20,
144,True,2,6,
358,True,2,8,
358,True,2,8,
2410,True,2,22,
4473,True,2,17,
4483,True,2,12,
4523,True,2,12,
5645,True,2,10,
5645,True,2,10,
4483,True,2,12,
991,True,2,34,
127,True,2,14,
127,True,2,14,
127,True,2,14,
127,True,2,14,
127,True,2,14,
127,True,2,14,
127,True,2,14,
2669,True,1,43,
2669,True,1,43,
