ProblemID,IsCovered,ProblemToSolveTheorems,SimilarProblemsTheorems,LevelID
459,True,1,77,1
722,True,1,82,1
95,True,1,85,1
2521,True,1,86,1
4197,True,1,86,1
2191,True,1,77,1
917,True,1,81,1
2409,True,1,85,1
2545,True,1,78,1
438,False,1,78,1
2444,True,1,85,1
2794,True,1,86,1
1568,True,1,77,1
2208,True,1,86,1
5313,True,1,89,1
1136,True,1,86,1
1663,True,1,85,1
2353,True,1,77,1
553,True,1,86,1
1849,True,1,86,1
993,True,2,76,2
454,True,2,76,2
6156,True,2,78,2
2451,True,1,76,2
2206,True,2,79,2
5363,False,2,91,2
3700,True,2,86,2
2478,True,2,89,2
335,True,2,87,2
5572,True,2,86,2
5049,True,2,78,2
4350,True,2,78,2
6677,True,2,86,2
1004,True,2,86,2
4316,True,2,77,2
6880,True,2,79,2
4251,True,2,85,2
823,True,2,77,2
5953,True,2,86,2
455,True,1,78,2
890,True,3,81,3
5138,True,1,84,3
6397,False,3,89,3
770,True,3,77,3
6747,True,3,81,3
3296,True,3,84,3
2949,True,2,81,3
3496,True,3,89,3
3638,True,3,83,3
4679,True,3,77,3
3619,True,2,86,3
6495,True,3,89,3
5581,True,2,88,3
4833,True,3,78,3
3173,False,3,76,3
1398,True,3,91,3
1795,True,2,84,3
3597,True,2,77,3
1647,True,3,81,3
1938,True,2,79,3
6309,True,4,86,5
6910,True,4,78,5
4601,True,4,85,5
3263,True,4,85,5
2183,True,2,83,5
5725,True,3,91,5
6896,True,4,79,5
3299,False,5,76,5
3768,True,4,82,5
2062,False,4,91,5
6217,True,4,84,5
3701,True,5,86,5
4414,True,5,77,5
3987,True,5,79,5
4270,True,4,91,5
5790,True,4,86,5
4707,True,4,78,5
3029,True,4,89,5
3961,True,4,85,5
5405,True,5,82,5
6645,True,3,77,4
6104,True,3,86,4
2159,True,3,81,4
4856,True,4,87,4
5399,True,4,78,4
596,True,3,86,4
4869,True,4,82,4
705,True,3,85,4
3157,True,3,83,4
3265,True,3,89,4
2904,True,3,78,4
1494,True,3,77,4
5909,True,3,85,4
4876,True,4,91,4
5391,False,4,89,4
3452,True,3,90,4
2622,True,4,88,4
2902,True,3,76,4
1483,False,4,77,4
659,True,3,77,4
