ProblemID,IsCovered,ProblemToSolveTheorems,SimilarProblemsTheorems,LevelID
6760,True,7,45,8
3983,False,6,50,8
2761,True,4,53,8
2875,False,8,53,8
3434,False,6,49,8
1258,False,4,51,8
246,True,2,52,8
6806,False,6,54,8
4793,True,6,45,8
2106,True,4,54,8
1975,True,1,49,1
1490,True,1,51,1
1726,True,1,53,1
178,True,1,53,1
2669,False,1,54,1
2614,True,1,51,1
51,True,1,53,1
2323,True,1,50,1
192,False,1,49,1
2624,True,1,54,1
4923,True,4,53,6
3298,False,3,45,6
759,False,6,53,6
4910,True,5,45,6
5805,True,4,50,6
5708,True,4,54,6
6417,True,4,51,6
5835,True,5,45,6
5808,True,4,49,6
5779,True,4,51,6
2141,True,2,51,2
69,True,2,50,2
2916,True,2,50,2
358,True,2,54,2
4473,True,2,50,2
4483,True,2,52,2
5645,True,2,50,2
127,True,2,50,2
2410,True,2,45,2
4523,True,2,53,2
3580,False,6,45,7
4898,True,5,53,7
6802,True,5,45,7
6247,True,5,52,7
449,True,5,50,7
1854,True,4,54,7
5208,True,6,45,7
6322,True,7,53,7
3412,False,4,54,7
3027,True,6,50,7
4187,False,3,51,3
5244,False,3,45,3
5062,False,2,49,3
844,False,3,49,3
1945,False,2,45,3
2200,True,2,45,3
4099,True,2,52,3
2765,True,2,49,3
4476,True,3,52,3
4254,True,2,49,3
5440,True,3,54,5
6485,True,4,53,5
696,False,3,45,5
847,False,4,51,5
5563,True,4,53,5
532,True,2,54,5
5431,True,4,51,5
437,False,3,52,5
5080,True,4,50,5
6660,True,4,53,5
2114,False,4,50,4
464,True,3,49,4
5510,False,2,45,4
3272,True,4,53,4
5230,True,1,52,4
3634,False,4,53,4
6924,True,4,53,4
4797,True,4,54,4
5399,True,4,45,4
6155,True,3,51,4
4134,False,5,52,10
3419,False,4,53,10
2196,False,6,50,10
4489,False,8,53,10
6146,False,7,45,10
6018,True,6,45,10
6376,True,5,50,10
5353,True,5,51,10
3114,True,9,49,10
5197,False,8,50,10
4892,True,8,51,9
5092,False,6,53,9
5522,False,5,53,9
4796,True,7,50,9
3418,True,5,51,9
6850,True,2,54,9
6790,True,8,53,9
5116,False,7,44,9
2851,True,4,45,9
716,False,7,49,9
